created_at,slug,name,updated_at,checksum,games,url,id
1687875874411,the-berenstain-bears,The Berenstain Bears,1687875874,3a980a10-65b8-051c-aec6-c2d45d03db1b,,https://www.igdb.com/franchises/the-berenstain-bears,4693
1687875436293,little-critter,Little Critter,1687875436,3fbc90a7-0d8b-69df-4ce5-1c37655fc7c0,,https://www.igdb.com/franchises/little-critter,4692
1687850229618,arma,arma,1687850229,34aaa90c-79cf-9342-b58d-3a002552ff9f,,https://www.igdb.com/franchises/arma,4691
1687777568028,kindaichi-case-files,Kindaichi Case Files,1687777568,4d37cfaa-5664-7f36-e226-89864c7c59f9,,https://www.igdb.com/franchises/kindaichi-case-files,4690
1388684491113,spider-man,Spider-Man,1687739165,a30af68d-642d-a272-772a-f5ffdb66967f,"[553, 1376, 2050, 3325, 3326, 3603, 4118, 4225, 4389, 4500, 4755, 5178, 5179, 5180, 5181, 5315, 5357, 6285, 6604, 6605, 8246, 8247, 11895, 11896, 18125, 19114, 19565, 21616, 23514, 23542, 24384, 42403, 42656, 46123, 46525, 46761, 48926, 49971, 63702, 65592, 80023, 80446, 80483, 83898, 83901, 89103, 96153, 99796, 107330, 109234, 109419, 109421, 109422, 113109, 122095, 127044, 134581, 136022, 138947, 138949, 139968, 142254, 143538, 149275, 188550, 196243, 198900, 198901, 198902, 200911, 200967, 200980, 202711, 203134, 203136, 203138, 203140, 203141, 203143, 203150, 206380, 208778, 209975, 209976, 209977, 218005, 220109, 220110, 220111, 220112, 220113, 220114, 220262, 221800, 224659, 224660, 224884, 224885, 224948, 225298, 230180, 230181, 230193, 230277, 230280, 231383, 243027, 243036, 243814, 243815, 245395, 245396, 245397, 245398, 245399, 245400, 245588, 245589, 245590, 248203, 252200, 252202, 254219, 254522]",https://www.igdb.com/franchises/spider-man,151
1399632184369,half-life,Half-Life,1687718045,0202a75f-d3dd-de0d-7c7f-d4340bb47e30,"[231, 232, 233, 241, 247, 338, 2549, 6738, 6739, 6740, 6744, 9471, 10395, 11749, 19348, 28827, 50095, 77081, 93071, 117278, 117291, 126098, 127905, 127906, 127914, 127954, 140851, 150226, 168930, 228891, 229858, 229969, 237394, 237522, 252806]",https://www.igdb.com/franchises/half-life,425
1687686991377,formula-one,Formula One,1687686991,8a98ab9f-8fda-21ae-10ff-d7225fee0bf5,,https://www.igdb.com/franchises/formula-one,4686
1687578677379,moana,Moana,1687578677,77505926-e01b-de9e-4fbd-9833c56b4430,,https://www.igdb.com/franchises/moana,4685
1377898378829,marvel,Marvel,1687553386,95cb7b55-4325-a447-1d18-bc03789c8ee4,"[553, 568, 1376, 1919, 2050, 2066, 3325, 3326, 3603, 3914, 3992, 4118, 4225, 4389, 4500, 4578, 4755, 4935, 4998, 4999, 5178, 5179, 5180, 5181, 5219, 5302, 5315, 5357, 6285, 6604, 6605, 7084, 7816, 8244, 8245, 8246, 8247, 8248, 9099, 11069, 11083, 11895, 11896, 12934, 13462, 18028, 18125, 18254, 19565, 19938, 20478, 20660, 20944, 21142, 21718, 24384, 24385, 24598, 26165, 26197, 26950, 27890, 28080, 28107, 28815, 28853, 30979, 39361, 40949, 42576, 42656, 45512, 48050, 48926, 49231, 49971, 50867, 61822, 65603, 65852, 65943, 70517, 76164, 77283, 80446, 80483, 92612, 94829, 96153, 105500, 109234, 109419, 109421, 109422, 113109, 115019, 119172, 122095, 122700, 122701, 122702, 122703, 122760, 127044, 131743, 132980, 133844, 134581, 135971, 136022, 136849, 137309, 137311, 137318, 137633, 137663, 137699, 137717, 137757, 138034, 138179, 138181, 138543, 138947, 138949, 139968, 142254, 143538, 144263, 144774, 149275, 152249, 152370, 153019, 154632, 161319, 168368, 168667, 168780, 168783, 168786, 168787, 169197, 194232, 196243, 197883, 197930, 198884, 198900, 200902, 200911, 200963, 200967, 200980, 202279, 203432, 209250, 216280, 216315, 218005, 218272, 220090, 220262, 225298, 225619, 228414, 230277, 230426, 232424, 239379, 240164, 242353, 245453, 245454, 245463, 248203, 248352, 248534, 248739, 248740, 251377, 253070, 254219]",https://www.igdb.com/franchises/marvel,124
1372593888741,pokemon,Pokémon,1687551623,2b4c0395-6044-45f8-11a1-176403c9f5d0,"[1511, 1512, 1513, 1514, 1515, 1516, 1517, 1518, 1519, 1520, 1521, 1522, 1556, 1557, 1558, 1559, 1560, 1561, 1626, 1627, 1628, 2286, 2287, 2288, 2289, 2290, 2319, 2320, 2321, 2322, 2323, 2324, 2325, 2642, 2643, 2724, 2725, 3574, 4068, 4069, 4558, 4559, 4560, 4561, 4562, 4563, 4564, 4565, 4566, 4567, 6897, 6898, 7410, 8284, 8353, 8377, 8588, 8589, 8592, 9564, 9602, 9621, 10906, 11720, 12515, 14606, 14699, 18099, 18100, 18138, 18594, 20039, 21700, 24423, 24945, 24959, 25027, 25877, 27052, 32124, 36570, 36792, 36793, 36794, 37382, 43174, 47734, 49857, 52197, 55011, 55669, 56053, 57344, 57382, 59038, 59116, 60055, 61001, 61005, 61693, 61973, 63048, 63849, 64033, 64034, 64282, 66024, 66027, 66028, 66030, 66031, 66844, 68380, 68726, 70506, 72165, 72248, 73096, 74809, 74816, 74818, 76863, 76894, 77182, 78376, 79385, 80213, 81272, 90101, 91823, 92303, 92306, 93046, 94206, 94906, 102873, 102874, 103511, 103512, 103513, 115653, 116246, 118490, 119156, 123089, 128069, 128071, 128073, 128307, 131002, 131316, 131487, 131497, 135142, 135145, 135164, 135233, 135381, 136275, 136786, 136892, 138961, 141203, 141960, 144051, 144052, 144054, 144248, 144721, 153546, 157527, 178309, 178310, 178359, 181503, 181505, 181507, 181508, 181509, 181515, 188539, 191930, 191931, 194263, 194330, 198851, 198862, 198863, 198864, 198865, 210474, 210550, 212725, 212726, 215758, 215759, 218482, 218486, 218523, 218524, 220853, 221054, 221055, 221843, 221996, 222360, 222681, 227940, 228904, 230060, 231706, 233026, 234097, 234098, 240083, 240084, 245421, 245422, 252782, 253683, 253787, 253801, 254167, 254176]",https://www.igdb.com/franchises/pokemon,60
1374951371261,spongebob-squarepants,Spongebob Squarepants,1687496992,e3f4dada-9ba9-458b-a9fe-f3c642e895d4,"[2759, 2760, 2761, 2762, 2763, 2765, 2767, 2768, 2769, 2770, 2772, 2773, 2775, 2776, 2784, 4822, 5184, 5189, 5190, 7991, 7992, 7993, 8069, 8474, 18301, 20858, 43312, 43481, 43647, 64860, 65154, 65157, 78800, 82098, 82100, 82104, 97200, 106109, 119239, 130748, 133910, 134309, 134492, 135988, 141000, 148224, 156151, 171219, 194951, 202110, 202111, 207003, 208780, 210724, 210725, 214967, 218533, 220115, 220116, 220117, 220118, 220119, 220120, 221813, 221834, 228487, 228488, 230401, 230402, 230451, 230452, 235316, 242342, 242346, 242366, 242430, 243824, 243825, 245702, 245703, 245704, 245705, 245706, 248482, 248483, 248484, 248491, 248519, 248553, 248626, 253744, 254265]",https://www.igdb.com/franchises/spongebob-squarepants,100
1360510076657,dc-comics,DC Comics,1687495145,27d4bac2-4425-5661-f815-904236bd075b,"[453, 1617, 1918, 2003, 2738, 3005, 4379, 5503, 5872, 6183, 6764, 7259, 10510, 11077, 12401, 12787, 14288, 14289, 19470, 19563, 23354, 26271, 41636, 41640, 42929, 48945, 68440, 75426, 77354, 79820, 86130, 99933, 102321, 121241, 121242, 121243, 121244, 121245, 121246, 144130, 158773, 194949, 197872, 197882, 207162, 207224, 207239, 208251, 208319, 212781, 217694, 220121, 220122, 245458, 245459, 245552, 248462, 248498, 248573, 254329]",https://www.igdb.com/franchises/dc-comics,44
1390061776125,avatar-the-last-airbender,Avatar: The Last Airbender,1687464680,1e268783-8e62-1540-c15b-d812f9370fe3,"[3792, 4684, 4685, 7877, 7983, 7996, 27458, 156151, 196212, 202100, 202168, 210251, 210252, 210253, 210487, 210488, 210489, 220068, 235108, 254268]",https://www.igdb.com/franchises/avatar-the-last-airbender,173
1301514188000,batman,Batman,1687458456,99e6913f-84da-672d-41db-e95dc6158734,"[500, 501, 1012, 2003, 2738, 3063, 3444, 3851, 4379, 4489, 4707, 5346, 5503, 5738, 5739, 5740, 6836, 7685, 7689, 7769, 7771, 10028, 10510, 12401, 14288, 14289, 14746, 15519, 15520, 15521, 15522, 15523, 15524, 15525, 15526, 15527, 15528, 15529, 15530, 15531, 18442, 19245, 19563, 19829, 19856, 20809, 20834, 21704, 22761, 23033, 25970, 25972, 25974, 25975, 25977, 25983, 25990, 25991, 25993, 25996, 25997, 26030, 26031, 26033, 26034, 26035, 26036, 26037, 26038, 26039, 26040, 26041, 26042, 26043, 26044, 26045, 26111, 26113, 26114, 26116, 26457, 26638, 26964, 26993, 27862, 28251, 41611, 41640, 42929, 43018, 43019, 43020, 45201, 45202, 45203, 45204, 49226, 49227, 51525, 52440, 69064, 70694, 73262, 75529, 75531, 75532, 75533, 75534, 75535, 75541, 75542, 75543, 75544, 75545, 77237, 77258, 77350, 79820, 80910, 81123, 84447, 91033, 96066, 112659, 112674, 115071, 115072, 118722, 121241, 121242, 121243, 121244, 121245, 121246, 127560, 127561, 128009, 131462, 131964, 133278, 136993, 138111, 138112, 138185, 138216, 138788, 140095, 164313, 197871, 197872, 198672, 198673, 198674, 198676, 198677, 198678, 198997, 198998, 199423, 200135, 200153, 203433, 203435, 207265, 214896, 217728, 218016, 229719, 230421, 234179, 234834, 234835, 240487, 240941, 245552, 245556, 245591, 245592, 248498, 248765, 254266, 254329]",https://www.igdb.com/franchises/batman,5
1687406680069,umamusume,Umamusume,1687406680,456e3a38-2a9f-0f4b-950f-1bca9c1959bf,,https://www.igdb.com/franchises/umamusume,4683
1351020746443,james-bond,James Bond,1687291403,89e52e3b-e2ba-9d33-407d-8e99631f76e3,"[1630, 1631, 1632, 1633, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1648, 1649, 1650, 1651, 2371, 11249, 14262, 26117, 28726, 44098, 44099, 52679, 57293, 65895, 110398, 141114, 143406, 144507, 146882, 156069, 156079, 158962, 176045, 233877, 243013, 248458, 248548]",https://www.igdb.com/franchises/james-bond,37
